1	щас	щас	ADV	_	Degree=Pos	_	_	_	@oc1983f-words#@oc1983f#1885.5121885.737
2	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	@oc1983f-words#@oc1983f#1885.7371885.962
3	начнут	начать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1885.9621886.187
4	спрашивать	спрашивать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1886.1871886.412
5	/	/	PUNCT	_	_	_	_	_	@oc1983f-words#@oc1983f#1886.4121886.637
6	когда	когда	SCONJ	_	_	_	_	_	@oc1983f-words#@oc1983f#1886.6371886.862
7	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@oc1983f-words#@oc1983f#1886.8621887.087
8	будешь	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1887.0871887.312
9	рожать	рожать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1887.3121887.537
10	/	/	PUNCT	_	_	_	_	_	@oc1983f-words#@oc1983f#1887.7621887.987
11	уже	уже	ADV	_	Degree=Pos	_	_	_	@oc1983f-words#@oc1983f#1887.9871888.212
12	наверно	наверно	ADV	_	Degree=Pos	_	_	_	@oc1983f-words#@oc1983f#1888.2121888.437
13	спрашивают	спрашивать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1888.4371888.672
14	#смеется#	#смеется#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@oc1983f-words#@oc1983f#1889.0771889.668
